"Census year","Census interval","Taper correction","Kohyama correction","Outlier substitution","AGB","deltaAGB","AWP","AWM","BA","deltaBA","BAP","BAM","N","deltaN","N10","deltaN10"
2000,"1995 - 2000","No","Yes","Yes",NA,NA,"6.69 (6.38-7.02)","6.81 (6.28-7.41)",NA,NA,"1.01 (0.975-1.04)","1.05 (0.987-1.11)",NA,NA,NA,NA
2005,"2000 - 2005","No","Yes","Yes",NA,NA,"6.91 (6.61-7.23)","6.67 (6.06-7.34)",NA,NA,"1.05 (1.01-1.08)","1.02 (0.954-1.08)",NA,NA,NA,NA
2010,"2005 - 2010","No","Yes","Yes",NA,NA,"5.82 (5.63-6.02)","5.12 (4.63-5.62)",NA,NA,"0.789 (0.769-0.808)","0.733 (0.682-0.784)",NA,NA,NA,NA
1985,"1980 - 1985","Yes","No","No","252 (240-263)","1.7 (0.574-2.76)","7.63 (6.85-8.42)","6.12 (5.59-6.7)","32.4 (31.3-33.6)","0.272 (0.168-0.372)","1.17 (1.08-1.24)","0.934 (0.877-0.995)",NA,NA,NA,NA
1990,"1985 - 1990","Yes","No","No","261 (250-272)","-0.0243 (-0.694-0.644)","6.84 (6.23-7.51)","6.87 (6.24-7.68)","33.7 (32.5-35)","-0.00495 (-0.0854-0.0608)","1.05 (0.99-1.11)","1.06 (0.993-1.14)",NA,NA,NA,NA
1995,"1990 - 1995","Yes","No","No","261 (250-272)","0.666 (-0.178-1.43)","7.73 (7.08-8.43)","7.1 (6.35-7.91)","33.7 (32.6-34.9)","0.0399 (-0.0452-0.12)","1.11 (1.04-1.17)","1.07 (0.999-1.15)",NA,NA,NA,NA
2000,"1995 - 2000","Yes","No","No","264 (253-275)","-0.332 (-1.11-0.443)","6.99 (6.54-7.55)","7.3 (6.66-7.98)","33.9 (32.7-35.1)","-0.0602 (-0.137-0.0147)","1.04 (0.982-1.09)","1.09 (1.03-1.16)",NA,NA,NA,NA
2005,"2000 - 2005","Yes","No","No","262 (251-275)","-0.0719 (-1.12-0.707)","7.2 (6.59-7.71)","7.28 (6.54-8.14)","33.6 (32.5-34.9)","0.0114 (-0.0869-0.0913)","1.08 (1.03-1.13)","1.07 (0.998-1.16)",NA,NA,NA,NA
2010,"2005 - 2010","Yes","No","No","262 (251-274)","0.389 (-0.286-1.08)","6.08 (5.75-6.41)","5.6 (5.07-6.18)","33.7 (32.5-34.9)","0.0187 (-0.0447-0.0816)","0.813 (0.778-0.844)","0.78 (0.721-0.839)",NA,NA,NA,NA
2015,"2010 - 2015","Yes","No","No","264 (253-276)",NA,NA,NA,"33.8 (32.6-35)",NA,NA,NA,NA,NA,NA,NA
1985,"1980 - 1985","Yes","No","Yes","252 (242-264)","1.7 (0.631-2.78)","8.65 (8.23-9.15)","6.12 (5.61-6.69)","32.4 (31.3-33.5)","0.272 (0.169-0.374)","1.24 (1.2-1.29)","0.934 (0.88-0.995)",NA,NA,NA,NA
1990,"1985 - 1990","Yes","No","Yes","261 (250-273)","-0.0243 (-0.737-0.631)","7.63 (7.15-8.18)","6.87 (6.17-7.68)","33.7 (32.6-35)","-0.00495 (-0.0785-0.0668)","1.12 (1.07-1.18)","1.06 (0.986-1.13)",NA,NA,NA,NA
1995,"1990 - 1995","Yes","No","Yes","261 (250-273)","0.666 (-0.117-1.46)","7.63 (7.23-8.1)","7.1 (6.37-7.88)","33.7 (32.6-34.9)","0.0399 (-0.0452-0.127)","1.09 (1.05-1.14)","1.07 (0.996-1.15)",NA,NA,NA,NA
2000,"1995 - 2000","Yes","No","Yes","264 (253-276)","-0.332 (-1.08-0.371)","7.11 (6.77-7.55)","7.3 (6.7-7.93)","33.9 (32.6-35.2)","-0.0602 (-0.14-0.0162)","1.05 (1.01-1.08)","1.09 (1.03-1.16)",NA,NA,NA,NA
