"Species","Census year","Census interval","AGB","AWP","AWM","BA","BAP","BAM","N","N10"
"Psychotria horizontalis",1995,"1995 - 2000","0.0483 (0.0439-0.0526)","0.0036 (0.0032-0.00402)","0.00457 (0.00407-0.00512)","0.0272 (0.025-0.0297)","0.002 (0.00179-0.00222)","0.00261 (0.00235-0.0029)","94.8 (88-102)",NA
"Psychotria horizontalis",2000,"2000 - 2005","0.0435 (0.0393-0.0478)","0.0029 (0.00254-0.00329)","0.00429 (0.0038-0.00483)","0.0242 (0.0221-0.0265)","0.00156 (0.00138-0.00174)","0.00241 (0.00216-0.00268)","77.9 (71.9-84.4)",NA
"Psychotria horizontalis",2005,"2005 - 2010","0.0364 (0.0329-0.0402)","0.00249 (0.00222-0.00275)","0.00353 (0.00316-0.00394)","0.0199 (0.0182-0.0218)","0.00133 (0.0012-0.00148)","0.00194 (0.00175-0.00214)","61.2 (56.6-66)",NA
"Psychotria horizontalis",2010,"2010 - 2015","0.0313 (0.0284-0.0345)","0.00101 (0.000903-0.00113)","0.00245 (0.00216-0.00278)","0.0169 (0.0154-0.0186)","0.000503 (0.000455-0.000557)","0.00133 (0.0012-0.00148)","48.2 (44.8-52.1)",NA
"Psychotria horizontalis",2015,"1980 - 1985","0.0237 (0.0215-0.0263)",NA,NA,"0.0126 (0.0116-0.0138)",NA,NA,"34.8 (32.3-37.8)",NA
"Psychotria limonensis",1985,"1985 - 1990","4.78e-05 (2.48e-05-7.59e-05)","1.01e-05 (4.43e-06-1.7e-05)","8.04e-06 (3.71e-06-1.3e-05)","4.01e-05 (1.92e-05-6.17e-05)","8e-06 (3.3e-06-1.3e-05)","6.7e-06 (3.07e-06-1.08e-05)","0.34 (0.22-0.52)",NA
"Psychotria limonensis",1990,"1990 - 1995","6.26e-05 (2.77e-05-0.000106)","1.3e-05 (7.39e-06-1.85e-05)","9.18e-06 (3.87e-06-1.6e-05)","4.95e-05 (2.22e-05-8.45e-05)","1.05e-05 (6.09e-06-1.51e-05)","7.39e-06 (3.35e-06-1.26e-05)","0.36 (0.24-0.54)",NA
"Psychotria limonensis",1995,"1995 - 2000","8.13e-05 (4.5e-05-0.000118)","1.79e-05 (7.13e-06-3.61e-05)","1.34e-05 (6.77e-06-2.1e-05)","6.44e-05 (3.53e-05-9.54e-05)","1.4e-05 (5.49e-06-2.82e-05)","1.09e-05 (5.17e-06-1.74e-05)","0.38 (0.28-0.52)",NA
"Psychotria limonensis",2000,"2000 - 2005","0.000104 (3.64e-05-0.000222)","7.47e-05 (1.28e-05-0.000186)","1.51e-05 (4.89e-06-3.17e-05)","8.01e-05 (2.82e-05-0.000162)","5.71e-05 (9.9e-06-0.000142)","1.17e-05 (3.98e-06-2.44e-05)","0.46 (0.26-0.82)",NA
"Psychotria limonensis",2005,"2005 - 2010","0.000402 (8.48e-05-0.000952)","0.000108 (1.9e-05-0.000265)","6.95e-05 (1.41e-05-0.000168)","0.000307 (6.19e-05-0.000879)","7.35e-05 (1.51e-05-0.000174)","5.28e-05 (1.05e-05-0.000134)","1.28 (0.4-2.88)",NA
"Psychotria limonensis",2010,"2010 - 2015","0.000592 (0.000108-0.00179)","4.42e-05 (1.19e-05-9.7e-05)","7.27e-05 (1.92e-05-0.000172)","0.00041 (7.87e-05-0.000989)","3.24e-05 (9.42e-06-7e-05)","5.22e-05 (1.42e-05-0.00012)","1.36 (0.58-3.34)",NA
"Psychotria limonensis",2015,"1980 - 1985","0.000442 (8.23e-05-0.00109)",NA,NA,"0.000307 (6.78e-05-0.000742)",NA,NA,"1.16 (0.46-2.24)",NA
"Psychotria marginata",1985,"1985 - 1990","0.00315 (0.00248-0.004)","0.000434 (0.000332-0.000544)","0.00028 (0.000204-0.000371)","0.00203 (0.00166-0.00247)","0.000256 (0.000211-0.00031)","0.000178 (0.000142-0.000222)","13.7 (11.8-15.9)",NA
"Psychotria marginata",1990,"1990 - 1995","0.00447 (0.00365-0.00537)","0.000314 (0.00025-0.000394)","0.000428 (0.000322-0.000546)","0.00278 (0.00234-0.00328)","0.000201 (0.000161-0.000247)","0.000263 (0.000209-0.000327)","13.7 (12.1-15.5)",NA
"Psychotria marginata",1995,"1995 - 2000","0.00393 (0.00325-0.00475)","0.000348 (0.000285-0.000423)","0.000417 (0.00031-0.000538)","0.00249 (0.00212-0.00297)","0.000216 (0.000184-0.000256)","0.000261 (0.000205-0.00033)","12.3 (11-13.8)",NA
"Psychotria marginata",2000,"2000 - 2005","0.00359 (0.00303-0.00432)","0.000364 (0.000307-0.000429)","0.00035 (0.000279-0.000435)","0.00227 (0.00195-0.00263)","0.000231 (0.000201-0.000263)","0.000221 (0.000179-0.000267)","10.9 (9.92-12)",NA
"Psychotria marginata",2005,"2005 - 2010","0.00367 (0.0031-0.00426)","0.000553 (0.000476-0.00063)","0.000341 (0.000271-0.000408)","0.00232 (0.00203-0.00265)","0.000351 (0.000307-0.000398)","0.000213 (0.000174-0.000253)","11.4 (10.4-12.5)",NA
"Psychotria marginata",2010,"2010 - 2015","0.00472 (0.00414-0.00539)","0.000491 (0.000433-0.000555)","0.000365 (0.000289-0.000449)","0.00301 (0.00264-0.00338)","0.000316 (0.000282-0.000355)","0.000224 (0.000184-0.000271)","15 (13.8-16.2)",NA
"Psychotria marginata",2015,"1985 - 1990","0.00534 (0.00476-0.00597)",NA,NA,"0.00347 (0.00314-0.00383)",NA,NA,"18.4 (17-20)",NA
"Psychotria psychotriifolia",1990,"1990 - 1995","0 (0-0)","4.88e-07 (4.88e-07-4.88e-07)","0 (0-0)","0 (0-0)","4.05e-07 (4.05e-07-4.05e-07)","0 (0-0)",NA,NA
"Psychotria psychotriifolia",1995,"1995 - 2000","2.29e-06 (2.29e-06-2.29e-06)","1.21e-06 (1.21e-06-1.21e-06)","0 (0-0)","1.9e-06 (1.9e-06-1.9e-06)","6.38e-07 (6.38e-07-6.38e-07)","0 (0-0)","0.02 (0.02-0.02)",NA
