"Species","Census year","Census interval","AGB","AWP","AWM","BA","BAP","BAM","N","N10"
"Abarema macradenia",1985,"1985 - 1990","0.0284 (0.000664-0.0827)","0.00376 (9.63e-05-0.011)","0 (0-0)","0.00408 (0.000265-0.0113)","0.000435 (2.41e-05-0.00123)","0 (0-0)","0.2 (0.2-0.2)","0.04 (0.04-0.04)"
"Abarema macradenia",1990,"1990 - 1995","0.0471 (0.00123-0.138)","0.00397 (-3.97e-06-0.0117)","3.05e-06 (0-9.15e-06)","0.00626 (0.000414-0.0175)","0.000438 (2.03e-06-0.00126)","1.86e-06 (0-5.58e-06)","0.22 (0.22-0.22)","0.04 (0.04-0.04)"
"Abarema macradenia",1995,"1995 - 2000","0.067 (0.00142-0.195)","0.00454 (9.85e-05-0.0134)","4.01e-06 (0-1.2e-05)","0.00844 (0.00049-0.0237)","0.000487 (2.74e-05-0.00137)","2.28e-06 (0-6.83e-06)","0.22 (0.22-0.22)","0.06 (0.06-0.06)"
"Abarema macradenia",2000,"2000 - 2005","0.0896 (0.00181-0.262)","0.00356 (0.000196-0.01)","0 (0-0)","0.0108 (0.000586-0.0307)","4e-04 (5.41e-05-0.00105)","0 (0-0)","0.22 (0.22-0.22)","0.06 (0.06-0.06)"
"Abarema macradenia",2005,"2005 - 2010","0.108 (0.00277-0.312)","0.00385 (0.000303-0.0101)","1.59e-06 (0-4.78e-06)","0.0129 (0.000817-0.0361)","0.000479 (9.84e-05-0.00111)","1.12e-06 (0-3.36e-06)","0.32 (0.32-0.32)","0.08 (0.08-0.08)"
"Abarema macradenia",2010,"2010 - 2015","0.127 (0.00485-0.363)","0.00555 (0.000656-0.014)","0.000248 (0-0.000739)","0.0153 (0.00132-0.0415)","0.000719 (0.000203-0.00151)","5.91e-05 (0-0.000176)","0.64 (0.54-0.78)","0.14 (0.14-0.14)"
"Abarema macradenia",2015,"1980 - 1985","0.153 (0.00758-0.425)",NA,NA,"0.0186 (0.0021-0.0503)",NA,NA,"0.86 (0.76-1)","0.14 (0.14-0.14)"
"Acalypha diversifolia",1985,"1985 - 1990","0.035 (0.0301-0.041)","0.0039 (0.00336-0.00441)","0.00435 (0.00351-0.00529)","0.0215 (0.019-0.0239)","0.002 (0.00175-0.00229)","0.00269 (0.00232-0.00311)","24 (22.3-25.6)","0.06 (0.06-0.06)"
"Acalypha diversifolia",1990,"1990 - 1995","0.0298 (0.0259-0.0342)","0.00215 (0.00178-0.00258)","0.00433 (0.00377-0.005)","0.0183 (0.0164-0.0204)","0.00135 (0.00113-0.00157)","0.00273 (0.00238-0.00307)","15.7 (14.7-16.9)","0.04 (0.04-0.04)"
"Acalypha diversifolia",1995,"1995 - 2000","0.0196 (0.0165-0.023)","0.00202 (0.00166-0.00244)","0.00257 (0.00214-0.00307)","0.0118 (0.0103-0.0133)","0.00134 (0.00109-0.00158)","0.0016 (0.00135-0.00186)","9.82 (9.12-10.7)","0.04 (0.04-0.04)"
"Acalypha diversifolia",2000,"2000 - 2005","0.0167 (0.0135-0.0204)","0.00265 (0.00213-0.00329)","0.00227 (0.00181-0.00283)","0.0104 (0.00869-0.0122)","0.00181 (0.00151-0.00216)","0.00145 (0.00119-0.00173)","9.4 (8.32-10.8)","0.04 (0.04-0.04)"
"Acalypha diversifolia",2005,"2005 - 2010","0.0188 (0.0149-0.0233)","0.00412 (0.00346-0.0049)","0.00255 (0.00189-0.00336)","0.0123 (0.0102-0.0146)","0.00274 (0.00233-0.00319)","0.00163 (0.00129-0.00201)","14.3 (12.8-15.9)","0.02 (0.02-0.02)"
"Acalypha diversifolia",2010,"2010 - 2015","0.0266 (0.0221-0.0312)","0.00437 (0.00378-0.00507)","0.00239 (0.00184-0.00298)","0.0178 (0.0153-0.0206)","0.00292 (0.00253-0.00332)","0.00155 (0.00125-0.00189)","20.1 (18.1-22.1)","0.04 (0.04-0.04)"
"Acalypha diversifolia",2015,"1980 - 1985","0.0364 (0.0315-0.0418)",NA,NA,"0.0246 (0.022-0.0277)",NA,NA,"28.8 (26.1-31.8)","0.02 (0.02-0.02)"
"Acalypha macrostachya",1985,"1985 - 1990","0.00547 (0.00353-0.00746)","0.000829 (0.000511-0.00121)","0.00083 (0.000465-0.00124)","0.00289 (0.002-0.00389)","0.000389 (0.000261-0.000555)","0.000437 (0.000277-0.000625)","1.3 (1.02-1.7)",NA
"Acalypha macrostachya",1990,"1990 - 1995","0.00529 (0.00319-0.00793)","0.000469 (0.000262-0.000687)","0.000876 (0.000493-0.0013)","0.00264 (0.00169-0.00369)","0.000255 (0.000152-0.000372)","0.000444 (0.000279-0.000633)","0.88 (0.7-1.1)","0.04 (0.04-0.04)"
"Acalypha macrostachya",1995,"1995 - 2000","0.00336 (0.00181-0.00541)","0.000621 (0.000311-0.000973)","0.000557 (0.00028-0.000907)","0.00175 (0.00111-0.00254)","0.000323 (0.000168-0.000481)","0.000291 (0.000158-0.000433)","0.78 (0.58-1.06)","0.02 (0.02-0.02)"
"Acalypha macrostachya",2000,"2000 - 2005","0.0037 (0.00191-0.00564)","0.000642 (0.000282-0.00106)","0.000479 (0.000232-0.000762)","0.00191 (0.00109-0.00281)","0.000351 (0.000176-0.000549)","0.000257 (0.000132-0.000404)","0.88 (0.5-1.52)","0.04 (0.04-0.04)"
"Acalypha macrostachya",2005,"2005 - 2010","0.00451 (0.00209-0.00738)","0.000662 (0.000344-0.00102)","6e-04 (0.000268-0.00102)","0.00238 (0.00123-0.00386)","0.000365 (0.000186-0.000551)","0.000341 (0.000168-0.000546)","0.98 (0.68-1.34)","0.04 (0.04-0.04)"
"Acalypha macrostachya",2010,"2010 - 2015","0.00483 (0.00205-0.00824)","0.000754 (0.000231-0.00142)","0.000637 (0.00021-0.00122)","0.0025 (0.0012-0.00416)","0.000406 (0.000135-0.000797)","0.000316 (0.000127-0.000526)","1.04 (0.7-1.44)","0.04 (0.04-0.04)"
"Acalypha macrostachya",2015,"1980 - 1985","0.00544 (0.00231-0.00964)",NA,NA,"0.00296 (0.00135-0.00506)",NA,NA,"1.26 (0.68-1.98)","0.02 (0.02-0.02)"
"Adelia triloba",1985,"1985 - 1990","0.465 (0.343-0.592)","0.0671 (0.0457-0.093)","0.0678 (0.0477-0.0933)","0.0694 (0.0551-0.0853)","0.00987 (0.00734-0.0127)","0.00971 (0.00714-0.0125)","7 (6.16-7.9)","2.28 (2.06-2.52)"
"Adelia triloba",1990,"1990 - 1995","0.461 (0.351-0.598)","0.0715 (0.0507-0.0963)","0.0823 (0.059-0.114)","0.0701 (0.0546-0.0881)","0.0103 (0.00771-0.0135)","0.0121 (0.00892-0.0161)","7.1 (6.2-8.14)","2.1 (1.86-2.36)"
"Adelia triloba",1995,"1995 - 2000","0.41 (0.304-0.547)","0.0703 (0.0476-0.0956)","0.0721 (0.0517-0.097)","0.0616 (0.0483-0.0778)","0.00992 (0.00725-0.0131)","0.0105 (0.00802-0.0135)","5.62 (4.92-6.42)","1.82 (1.6-2.06)"
"Adelia triloba",2000,"2000 - 2005","0.401 (0.291-0.548)","0.0612 (0.04-0.0931)","0.0716 (0.0479-0.0989)","0.0588 (0.0451-0.0744)","0.0086 (0.00587-0.0119)","0.0103 (0.00766-0.0134)","4.48 (3.94-5.14)","1.6 (1.44-1.8)"
"Adelia triloba",2005,"2005 - 2010","0.348 (0.227-0.498)","0.0639 (0.0397-0.1)","0.0632 (0.0393-0.0949)","0.0503 (0.0359-0.0661)","0.00891 (0.00618-0.0124)","0.00889 (0.00593-0.0123)","3.82 (3.32-4.38)","1.42 (1.26-1.62)"
"Adelia triloba",2010,"2010 - 2015","0.351 (0.227-0.504)","0.0075 (0.00525-0.0101)","0.0139 (0.00731-0.0228)","0.0504 (0.0365-0.0678)","0.00125 (0.000876-0.00168)","0.00218 (0.00125-0.00335)","3.92 (3.4-4.48)","1.32 (1.18-1.48)"
"Adelia triloba",2015,"1980 - 1985","0.317 (0.201-0.466)",NA,NA,"0.0455 (0.0323-0.0609)",NA,NA,"3.34 (2.94-3.82)","1.16 (1.02-1.32)"
"Aegiphila panamensis",1985,"1985 - 1990","0.0607 (0.0439-0.0849)","0.00206 (0.00141-0.00282)","0.00169 (0.00048-0.00373)","0.0104 (0.00778-0.0134)","0.000321 (0.000226-0.000436)","0.000304 (0.000118-0.000602)","2.5 (2.32-2.7)","0.42 (0.42-0.42)"
"Aegiphila panamensis",1990,"1990 - 1995","0.0623 (0.0442-0.0812)","0.00162 (0.00099-0.00235)","0.00197 (0.000312-0.00428)","0.0104 (0.00797-0.0131)","0.000248 (0.000159-0.000352)","0.000321 (8.78e-05-0.00065)","1.86 (1.74-2)","0.46 (0.46-0.46)"
"Aegiphila panamensis",1995,"1995 - 2000","0.0611 (0.0459-0.08)","0.00118 (0.000694-0.00174)","0.00163 (0.000563-0.00308)","0.0101 (0.00783-0.0126)","0.000166 (0.000101-0.000234)","0.000313 (0.000133-0.000539)","1.54 (1.42-1.68)","0.46 (0.46-0.46)"
"Aegiphila panamensis",2000,"2000 - 2005","0.0588 (0.0419-0.0769)","0.000792 (0.000351-0.00129)","0.00291 (0.00097-0.00528)","0.00941 (0.00707-0.0121)","0.000115 (5.36e-05-0.000197)","0.000479 (0.000202-0.000814)","1.24 (1.12-1.38)","0.42 (0.4-0.46)"
"Aegiphila panamensis",2005,"2005 - 2010","0.0481 (0.0323-0.0668)","0.000657 (0.000295-0.00104)","0.00255 (0.00083-0.00483)","0.00758 (0.00529-0.01)","0.000113 (5.52e-05-0.000181)","0.000407 (0.000153-0.000754)","0.86 (0.78-0.96)","0.34 (0.32-0.38)"
"Aegiphila panamensis",2010,"2010 - 2015","0.0387 (0.0232-0.0556)","0.000612 (0.00036-0.00092)","0.00141 (0.000434-0.0028)","0.00611 (0.00405-0.00842)","8.82e-05 (5.51e-05-0.000128)","0.00025 (7.99e-05-0.00046)","0.76 (0.7-0.86)","0.28 (0.26-0.32)"
"Aegiphila panamensis",2015,"1980 - 1985","0.0344 (0.0199-0.0505)",NA,NA,"0.00526 (0.00317-0.00753)",NA,NA,"0.52 (0.48-0.6)","0.26 (0.22-0.34)"
"Alchornea costaricensis",1985,"1985 - 1990","1.32 (1-1.68)","0.108 (0.0669-0.155)","0.135 (0.0815-0.19)","0.275 (0.22-0.337)","0.0214 (0.0148-0.0301)","0.0258 (0.0167-0.0358)","6.56 (5.8-7.44)","3.22 (2.94-3.56)"
"Alchornea costaricensis",1990,"1990 - 1995","1.14 (0.851-1.47)","0.117 (0.0728-0.17)","0.128 (0.0772-0.19)","0.244 (0.195-0.295)","0.0232 (0.0146-0.0324)","0.0253 (0.0164-0.0352)","6.02 (5.44-6.78)","3.22 (2.9-3.66)"
"Alchornea costaricensis",1995,"1995 - 2000","1.08 (0.815-1.36)","0.0949 (0.057-0.143)","0.0964 (0.0558-0.146)","0.233 (0.184-0.281)","0.0186 (0.0111-0.0268)","0.0195 (0.0125-0.0287)","5.44 (4.84-6.12)","3.22 (2.9-3.64)"
"Alchornea costaricensis",2000,"2000 - 2005","1.03 (0.793-1.31)","0.102 (0.065-0.147)","0.0926 (0.0501-0.148)","0.221 (0.177-0.275)","0.0203 (0.013-0.0286)","0.0183 (0.0108-0.0268)","5.24 (4.52-6.04)","2.98 (2.68-3.38)"
"Alchornea costaricensis",2005,"2005 - 2010","1.07 (0.821-1.33)","0.0955 (0.0589-0.14)","0.104 (0.0601-0.152)","0.229 (0.185-0.282)","0.0191 (0.0127-0.0266)","0.0206 (0.0127-0.0306)","5.16 (4.52-5.86)","2.92 (2.62-3.34)"
"Alchornea costaricensis",2010,"2010 - 2015","1.04 (0.798-1.32)","0.0264 (0.0179-0.0351)","0.0142 (0.00536-0.0247)","0.224 (0.18-0.276)","0.0055 (0.00397-0.0073)","0.00349 (0.00168-0.00581)","7.12 (6.4-7.9)","2.76 (2.44-3.16)"
"Alchornea costaricensis",2015,"1980 - 1985","1.08 (0.842-1.36)",NA,NA,"0.231 (0.183-0.283)",NA,NA,"6.22 (5.62-6.94)","2.64 (2.32-3.08)"
"Alchornea latifolia",1985,"1985 - 1990","0.00429 (0-0.0076)","4.56e-05 (1.09e-06-8.45e-05)","0 (0-0)","0.000939 (0-0.00164)","1.13e-05 (1.12e-06-2.29e-05)","0 (0-0)","0.06 (0.04-0.08)","0.04 (0.04-0.04)"
"Alchornea latifolia",1990,"1990 - 1995","0.00452 (5.54e-06-0.00802)","6.62e-05 (4.07e-07-0.000132)","0.000572 (0-0.00172)","0.000995 (5.7e-06-0.00175)","1.21e-05 (3.02e-07-2.38e-05)","0.000125 (0-0.000375)","0.1 (0.06-0.12)","0.04 (0.04-0.04)"
"Alchornea latifolia",1995,"1995 - 2000","0.00218 (5.73e-06-0.00435)","0.000251 (0.000251-0.000251)","1.4e-06 (1.14e-06-1.66e-06)","0.000471 (5.31e-06-0.000936)","4.17e-05 (4.17e-05-4.17e-05)","1.23e-06 (1.06e-06-1.41e-06)","0.06 (0.04-0.08)","0.02 (0.02-0.02)"
"Alchornea latifolia",2000,"2000 - 2005","0.00342 (0.00342-0.00342)","0.000164 (0.000164-0.000164)","0 (0-0)","0.000673 (0.000673-0.000673)","2.58e-05 (2.58e-05-2.58e-05)","0 (0-0)","0.02 (0.02-0.02)","0.02 (0.02-0.02)"
"Alchornea latifolia",2005,"2005 - 2010","0.00424 (0.00424-0.00424)","0.000216 (0.000216-0.000216)","0 (0-0)","0.000802 (0.000802-0.000802)","3.28e-05 (3.28e-05-3.28e-05)","0 (0-0)","0.02 (0.02-0.02)","0.02 (0.02-0.02)"
"Alchornea latifolia",2010,"1980 - 1985","0.00532 (0.00532-0.00532)",NA,"0.00105 (0.00105-0.00105)","0.000966 (0.000966-0.000966)",NA,"0.00019 (0.00019-0.00019)","0.02 (0.02-0.02)","0.02 (0.02-0.02)"
"Alibertia edulis",1985,"1985 - 1990","0.0192 (0.0142-0.0251)","0.0019 (0.00135-0.00249)","0.000915 (0.000533-0.00143)","0.00475 (0.00378-0.00573)","0.000495 (0.000386-0.000618)","0.000241 (0.000156-0.00034)","6.86 (6.46-7.32)","0.02 (0.02-0.02)"
"Alibertia edulis",1990,"1990 - 1995","0.0258 (0.0203-0.0327)","0.00157 (0.00107-0.00215)","0.00185 (0.00107-0.00289)","0.00636 (0.00523-0.00762)","0.000408 (0.000301-0.000534)","0.000439 (0.000287-0.000629)","7.54 (7.08-8.04)","0.06 (0.06-0.06)"
"Alibertia edulis",1995,"1995 - 2000","0.0245 (0.0194-0.03)","0.00165 (0.00116-0.00222)","0.0018 (0.00108-0.00262)","0.00623 (0.00525-0.00731)","0.000425 (0.000325-0.000549)","0.000452 (0.000322-0.000604)","7.4 (6.98-7.86)","0.02 (0.02-0.02)"
"Alibertia edulis",2000,"2000 - 2005","0.0238 (0.0191-0.0282)","0.00174 (0.00124-0.0023)","0.0016 (0.00107-0.00224)","0.00609 (0.00523-0.00708)","0.000441 (0.00033-0.000559)","0.000414 (0.000287-0.000548)","7.06 (6.58-7.54)",NA
"Alibertia edulis",2005,"2005 - 2010","0.0244 (0.0198-0.0293)","0.0019 (0.00143-0.00243)","0.0018 (0.00119-0.00245)","0.00622 (0.00526-0.00719)","0.000505 (0.000399-0.000618)","0.000462 (0.000332-0.000596)","7.34 (6.9-7.86)",NA
"Alibertia edulis",2010,"2010 - 2015","0.025 (0.0203-0.0296)","0.00113 (0.000881-0.00139)","0.000393 (0.000238-0.000603)","0.00644 (0.00543-0.00753)","0.000283 (0.000237-0.000337)","0.000125 (8.51e-05-0.000173)","8.18 (7.62-8.8)",NA
"Alibertia edulis",2015,"1980 - 1985","0.0286 (0.0234-0.034)",NA,NA,"0.00723 (0.00611-0.00839)",NA,NA,"9.1 (8.52-9.68)",NA
"Alibertia patinoi",1985,"1985 - 1990","7.23e-06 (7.23e-06-7.23e-06)","-9.63e-07 (-9.63e-07--9.63e-07)","0 (0-0)","3.53e-06 (3.53e-06-3.53e-06)","-4.11e-07 (-4.11e-07--4.11e-07)","0 (0-0)","0.02 (0.02-0.02)",NA
"Alibertia patinoi",1990,"1990 - 1995","2.49e-06 (2.49e-06-2.49e-06)","8.27e-07 (8.27e-07-8.27e-07)","5.12e-07 (5.12e-07-5.12e-07)","1.57e-06 (1.57e-06-1.57e-06)","4.65e-07 (4.65e-07-4.65e-07)","3.23e-07 (3.23e-07-3.23e-07)","0.02 (0.02-0.02)",NA
"Alibertia patinoi",1995,"1995 - 2000","4.02e-06 (4.02e-06-4.02e-06)","0 (0-0)","0 (0-0)","2.26e-06 (2.26e-06-2.26e-06)","0 (0-0)","0 (0-0)",NA,NA
"Alibertia patinoi",2000,"2000 - 2005","4.02e-06 (4.02e-06-4.02e-06)","0 (0-0)","0 (0-0)","2.26e-06 (2.26e-06-2.26e-06)","0 (0-0)","0 (0-0)","0.02 (0.02-0.02)",NA
"Alibertia patinoi",2005,"2005 - 2010","4.02e-06 (4.02e-06-4.02e-06)","1.88e-07 (1.88e-07-1.88e-07)","0 (0-0)","2.26e-06 (2.26e-06-2.26e-06)","7.85e-08 (7.85e-08-7.85e-08)","0 (0-0)","0.02 (0.02-0.02)",NA
"Alibertia patinoi",2010,"1980 - 1985","4.96e-06 (4.96e-06-4.96e-06)",NA,"9.66e-07 (9.66e-07-9.66e-07)","2.65e-06 (2.65e-06-2.65e-06)",NA,"5.17e-07 (5.17e-07-5.17e-07)","0.02 (0.02-0.02)",NA
"Allophylus psilospermus",1985,"1985 - 1990","0.099 (0.0617-0.143)","0.00836 (0.0046-0.0129)","0.0102 (0.00522-0.016)","0.0182 (0.0131-0.0243)","0.00169 (0.00109-0.00243)","0.00188 (0.00115-0.00284)","3.5 (3.24-3.8)","0.64 (0.6-0.7)"
"Allophylus psilospermus",1990,"1990 - 1995","0.0885 (0.0556-0.127)","0.0101 (0.00556-0.0147)","0.0102 (0.00494-0.0166)","0.0171 (0.0119-0.0233)","0.00192 (0.00122-0.00282)","0.00196 (0.00108-0.00309)","3.24 (3-3.52)","0.54 (0.52-0.58)"
"Allophylus psilospermus",1995,"1995 - 2000","0.0886 (0.0558-0.13)","0.00843 (0.00466-0.0127)","0.0105 (0.00505-0.0172)","0.017 (0.0119-0.0227)","0.00162 (0.000968-0.00242)","0.00193 (0.00108-0.00298)","2.68 (2.44-2.96)","0.48 (0.46-0.52)"
"Allophylus psilospermus",2000,"2000 - 2005","0.0787 (0.0496-0.109)","0.0119 (0.00694-0.0174)","0.00893 (0.00444-0.0141)","0.0155 (0.0111-0.0206)","0.00217 (0.00135-0.0032)","0.00171 (0.000978-0.00266)","2.44 (2.22-2.66)","0.44 (0.44-0.44)"
"Allophylus psilospermus",2005,"2005 - 2010","0.0935 (0.0609-0.132)","0.0126 (0.00741-0.0187)","0.0108 (0.00556-0.0159)","0.0178 (0.0125-0.024)","0.00227 (0.00141-0.00328)","0.00201 (0.00117-0.00298)","2.34 (2.16-2.56)","0.58 (0.52-0.64)"
"Allophylus psilospermus",2010,"2010 - 2015","0.102 (0.069-0.141)","0.00522 (0.00289-0.00868)","0.00502 (0.00161-0.00915)","0.0191 (0.0138-0.0248)","0.000917 (0.000543-0.00142)","0.000909 (0.000386-0.00158)","2.56 (2.34-2.8)","0.66 (0.6-0.72)"
"Allophylus psilospermus",2015,"1980 - 1985","0.103 (0.0705-0.141)",NA,NA,"0.019 (0.0132-0.025)",NA,NA,"2.36 (2.14-2.58)","0.7 (0.64-0.78)"
"Alseis blackiana",1985,"1985 - 1990","10.7 (9.49-12.1)","0.368 (0.304-0.442)","0.172 (0.091-0.27)","1.32 (1.18-1.46)","0.0439 (0.037-0.0517)","0.0196 (0.0114-0.0292)","161 (153-169)","16.9 (15.9-17.8)"
"Alseis blackiana",1990,"1990 - 1995","10.5 (9.33-11.6)","0.219 (0.168-0.274)","0.128 (0.0692-0.199)","1.33 (1.21-1.47)","0.0275 (0.0222-0.0333)","0.0164 (0.0104-0.0236)","166 (159-174)","18.5 (17.5-19.5)"
"Alseis blackiana",1995,"1995 - 2000","10.5 (9.45-11.6)","0.221 (0.185-0.263)","0.13 (0.0661-0.208)","1.35 (1.23-1.47)","0.0279 (0.0241-0.0321)","0.0167 (0.0109-0.0239)","160 (153-168)","19.6 (18.5-20.6)"
"Alseis blackiana",2000,"2000 - 2005","11 (9.78-12.1)","0.252 (0.209-0.303)","0.204 (0.122-0.306)","1.41 (1.28-1.54)","0.0313 (0.0267-0.0361)","0.0246 (0.016-0.0346)","157 (150-165)","20.1 (19.2-21.1)"
"Alseis blackiana",2005,"2005 - 2010","11.1 (9.99-12.2)","0.261 (0.224-0.308)","0.187 (0.118-0.269)","1.42 (1.3-1.56)","0.0332 (0.0286-0.0386)","0.0237 (0.0162-0.032)","155 (148-161)","20.8 (19.8-21.9)"
"Alseis blackiana",2010,"2010 - 2015","11.2 (9.97-12.4)","0.225 (0.201-0.25)","0.157 (0.0942-0.224)","1.45 (1.33-1.58)","0.0279 (0.0254-0.0307)","0.0194 (0.0129-0.0272)","158 (151-165)","21.3 (20.2-22.3)"
"Alseis blackiana",2015,"1980 - 1985","11.5 (10.3-12.7)",NA,NA,"1.49 (1.35-1.62)",NA,NA,"163 (155-170)","21.6 (20.6-22.8)"
"Amaioua glomerulata",1985,"1985 - 1990","0.0202 (0.00155-0.0563)","0.000774 (3.31e-05-0.00215)","1.11e-05 (0-3.28e-05)","0.00269 (0.000394-0.00678)","8.59e-05 (5.37e-06-0.000219)","3.96e-06 (0-1.16e-05)","0.58 (0.44-0.8)","0.04 (0.04-0.04)"
"Amaioua glomerulata",1990,"1990 - 1995","0.0241 (0.00181-0.0641)","0.000141 (-2.74e-05-0.000396)","0.00402 (0-0.012)","0.00312 (0.000561-0.00788)","2.56e-05 (2.74e-06-5.92e-05)","0.000436 (0-0.00129)","0.58 (0.44-0.78)","0.06 (0.06-0.06)"
"Amaioua glomerulata",1995,"1995 - 2000","0.0057 (0.00183-0.0106)","0.000458 (2.96e-05-0.00113)","0.000369 (1.02e-06-0.00108)","0.00118 (0.000521-0.00202)","7.67e-05 (7.87e-06-0.00019)","6.29e-05 (3.79e-07-0.000182)","0.54 (0.42-0.72)","0.04 (0.04-0.04)"
"Amaioua glomerulata",2000,"2000 - 2005","0.00615 (0.00214-0.0114)","0.000194 (5.42e-05-0.000382)","9.6e-05 (5.26e-06-0.000242)","0.00125 (0.000588-0.00217)","3.53e-05 (1.17e-05-6.84e-05)","2.58e-05 (2.78e-06-5.97e-05)","0.48 (0.36-0.66)","0.02 (0.02-0.02)"
"Amaioua glomerulata",2005,"2005 - 2010","0.00663 (0.00202-0.012)","5.6e-05 (1.05e-05-0.000125)","8.7e-05 (0-0.00025)","0.0013 (0.000498-0.00226)","1.11e-05 (3.18e-06-2.2e-05)","2.34e-05 (0-6.36e-05)","0.44 (0.3-0.64)","0.04 (0.04-0.04)"
"Amaioua glomerulata",2010,"2010 - 2015","0.00648 (0.00195-0.0124)","6.86e-05 (1.99e-05-0.000139)","7.28e-05 (0-0.000218)","0.00124 (0.000487-0.00199)","1.39e-05 (5.41e-06-2.44e-05)","1.63e-05 (0-4.9e-05)","0.38 (0.3-0.46)","0.04 (0.04-0.04)"
"Amaioua glomerulata",2015,"1980 - 1985","0.00644 (0.0019-0.0124)",NA,NA,"0.00122 (0.000471-0.00209)",NA,NA,"0.38 (0.3-0.48)","0.06 (0.06-0.06)"
"Anacardium excelsum",1985,"1985 - 1990","6.25 (3.91-9.08)","0.0817 (-0.0178-0.223)","0.0028 (0-0.00822)","0.672 (0.433-0.983)","0.0093 (-0.00127-0.024)","0.000477 (0-0.00138)","0.52 (0.42-0.66)","0.46 (0.42-0.52)"
"Anacardium excelsum",1990,"1990 - 1995","6.5 (4.17-9.26)","0.225 (0.0403-0.494)","0.155 (0-0.378)","0.701 (0.456-0.976)","0.0236 (0.004-0.0528)","0.0171 (0-0.0445)","0.52 (0.42-0.64)","0.46 (0.42-0.52)"
"Anacardium excelsum",1995,"1995 - 2000","6.28 (4.23-8.57)","0.109 (0.0253-0.244)","0.214 (1.59e-06-0.582)","0.681 (0.475-0.93)","0.0116 (0.00276-0.0252)","0.0222 (5.31e-07-0.0627)","0.52 (0.44-0.62)","0.44 (0.42-0.48)"
"Anacardium excelsum",2000,"2000 - 2005","5.46 (3.57-7.67)","0.0942 (0.0196-0.22)","0.135 (0-0.344)","0.601 (0.405-0.829)","0.0101 (0.00212-0.0244)","0.0146 (0-0.0359)","0.5 (0.44-0.56)","0.44 (0.4-0.5)"
"Anacardium excelsum",2005,"2005 - 2010","5.36 (3.45-7.57)","0.124 (0.0387-0.245)","0.0907 (8.17e-07-0.244)","0.587 (0.384-0.82)","0.0137 (0.00399-0.0273)","0.0102 (9.57e-07-0.0272)","0.54 (0.48-0.62)","0.42 (0.38-0.48)"
"Anacardium excelsum",2010,"2010 - 2015","5.44 (3.44-7.77)","0.0716 (0.0392-0.109)","0.0323 (7.5e-07-0.0969)","0.596 (0.406-0.832)","0.00724 (0.00432-0.0106)","0.00376 (9.68e-07-0.0113)","0.54 (0.46-0.62)","0.42 (0.38-0.48)"
"Anacardium excelsum",2015,"1980 - 1985","5.63 (3.65-7.86)",NA,NA,"0.613 (0.41-0.848)",NA,NA,"0.5 (0.44-0.56)","0.4 (0.36-0.46)"
"Anaxagorea panamensis",1985,"1985 - 1990","0.00863 (0.00156-0.0165)","0.00123 (0.000185-0.00262)","0.000615 (3.85e-05-0.00145)","0.00412 (0.000761-0.00869)","0.000559 (9.55e-05-0.00118)","0.000294 (2.13e-05-0.000654)","9.42 (2.14-18.6)",NA
"Anaxagorea panamensis",1990,"1990 - 1995","0.0126 (0.00235-0.0267)","0.00108 (0.000368-0.00215)","0.000736 (7.82e-05-0.00161)","0.00593 (0.00117-0.0125)","0.000527 (0.000168-0.000987)","0.000357 (4.08e-05-0.000772)","11.6 (3.82-21.4)",NA
"Anaxagorea panamensis",1995,"1995 - 2000","0.0143 (0.00333-0.0287)","0.00119 (0.000252-0.00251)","0.00073 (9.4e-05-0.00159)","0.00678 (0.00153-0.0137)","0.000535 (0.000122-0.00109)","0.000352 (5.87e-05-0.000815)","13.8 (4.98-24.2)",NA
"Anaxagorea panamensis",2000,"2000 - 2005","0.0166 (0.00418-0.0342)","0.00127 (0.000267-0.00278)","0.000814 (0.000164-0.00181)","0.00768 (0.00239-0.0145)","0.000546 (0.000139-0.00115)","0.000383 (7.61e-05-0.000808)","14.9 (5.56-25.8)",NA
"Anaxagorea panamensis",2005,"2005 - 2010","0.0189 (0.00468-0.0379)","0.00155 (0.000433-0.00288)","0.00117 (0.000175-0.0029)","0.0085 (0.00225-0.0164)","0.000722 (0.000222-0.00134)","0.000527 (7.75e-05-0.00121)","15.8 (5.88-27.6)",NA
"Anaxagorea panamensis",2010,"2010 - 2015","0.0208 (0.00587-0.0393)","0.000704 (0.000313-0.00118)","0.000587 (8.34e-05-0.00135)","0.00948 (0.00313-0.0171)","0.000317 (0.000159-0.00052)","0.000262 (4.95e-05-0.000551)","17.4 (7.72-29.7)",NA
"Anaxagorea panamensis",2015,"1980 - 1985","0.0213 (0.00756-0.041)",NA,NA,"0.00975 (0.00357-0.0171)",NA,NA,"17.8 (8.68-28.5)",NA
"Andira inermis",1985,"1985 - 1990","0.154 (0.105-0.221)","0.00217 (0.00109-0.00357)","0.00412 (0.000942-0.00809)","0.0238 (0.0175-0.031)","0.000397 (0.000252-0.000551)","0.000609 (0.000228-0.00118)","6.1 (5.84-6.42)","0.68 (0.68-0.68)"
"Andira inermis",1990,"1990 - 1995","0.127 (0.0904-0.172)","0.00177 (0.000849-0.00296)","0.00693 (0.00122-0.0142)","0.0213 (0.0165-0.0269)","0.000339 (0.000213-5e-04)","0.000957 (0.000303-0.0018)","5.96 (5.72-6.22)","0.6 (0.6-0.6)"
